NOME,name,area_ha,area_km2,seca_rischidro,seca_segali,chuva_segali,segener_acesso,segener_disp,saude_malaria,saude_leishmaniose_visceral,saude_leishmaniose_tegumentar,inudacoes_des_hidro,deslizamento_des_hidro
Monte Carlo/SC,CAMPO DOS POLI,"545,18526","5,451818351","0,18","0,23","0,11","0,54","0,38","0,26","0,03","0,25","0,67","0,6"
Praia Grande/SC,SAO ROQUE,"7332,23832","49,00245698","0,22","0,32","0,5","0,47","0,38","0,28","0,41",0,"0,32","0,26"
Treze de Maio/SC,FAM?LIA THOMAZ,"30,86835","0,308680646","0,34","0,37","0,28","0,49","0,38","0,49","0,7","0,54","0,3","0,21"
Cambar? do Sul/RS,SAO ROQUE,"7332,23832","3,723315772",0,0,"0,4","0,35","0,38","0,34","0,78","0,41","0,32","0,28"
Canoas/RS,CHACARA DAS ROSAS,"0,36258","0,003625746","0,38","0,41","0,18","0,52","0,38","0,33","0,51","0,39","0,67","0,56"
Capivari do Sul/RS,COSTA DA LAGOA,"48,97374","0,48973384","0,18","0,35","0,19","0,34","0,38","0,27","0,11","0,26","0,18","0,13"
Cara?/RS,MORRO ALTO,"4567,40652","0,065952678","0,39","0,46","0,16","0,45","0,38","0,29","0,12",0,0,0
Gravata?/RS,MANOEL BARBOSA,"125,94814","1,259479482","0,29","0,47","0,19","0,55","0,38","0,33","0,81","0,56","0,48","0,6"
Gravata?/RS,ANAST?CIA,"64,17803","0,019651282","0,29","0,47","0,19","0,55","0,38","0,33","0,81","0,56","0,48","0,6"
Mampituba/RS,SAO ROQUE,"7332,23832","18,5422832","0,22","0,31","0,59","0,42","0,38","0,29","0,21",0,"0,26","0,22"
Maquin?/RS,MORRO ALTO,"4567,40652","35,78724106","0,27","0,38","0,45","0,38","0,38","0,67","0,72",0,"0,36","0,38"
Morrinhos do Sul/RS,SAO ROQUE,"7332,23832","0,073147035","0,31","0,4","0,46","0,4","0,38","0,26","0,42","0,16","0,18","0,13"
Mostardas/RS,CASCA,"2389,58531","23,89611626",0,"0,13","0,07","0,37","0,38","0,26","0,22",0,"0,44","0,37"
Os?rio/RS,MORRO ALTO,"4567,40652","9,820513463","0,38","0,39","0,26","0,47","0,38","0,33","0,75","0,47","0,57","0,29"
Palmares do Sul/RS,LIMOEIRO,"719,02127","7,190156112","0,28","0,3","0,01","0,36","0,38","0,29","0,21","0,27","0,17","0,11"
Porto Alegre/RS,"FAM?LIA FID?LIX (GLEBA ""A"")","0,27846","0,00278457","0,3","0,29",0,"0,52","0,38","0,34","0,81","0,61","0,26","0,72"
Porto Alegre/RS,QUILOMBO DOS ALPES,"58,32999","0,583295475","0,3","0,29",0,"0,52","0,38","0,34","0,81","0,61","0,26","0,72"
Porto Alegre/RS,FAM?LIA SILVA,"0,6516","0,006515931","0,3","0,29",0,"0,52","0,38","0,34","0,81","0,61","0,26","0,72"
Porto Alegre/RS,AREAL LUIZ DA GUARANHA,"0,44698","0,004469755","0,3","0,29",0,"0,52","0,38","0,34","0,81","0,61","0,26","0,72"
Porto Alegre/RS,"FAM?LIA FID?LIX (GLEBA ""B"")","0,17409","0,001740851","0,3","0,29",0,"0,52","0,38","0,34","0,81","0,61","0,26","0,72"
S?o Francisco de Paula/RS,SAO ROQUE,"7332,23832","1,955051412",0,0,"0,39","0,35","0,38","0,33","0,79","0,47","0,34","0,43"
Tr?s Forquilhas/RS,SAO ROQUE,"7332,23832","0,025624484","0,04","0,3","0,39","0,39","0,38","0,28","0,3",0,0,0
Viam?o/RS,ANAST?CIA,"64,17803","0,622126706","0,44","0,49","0,2","0,59","0,38","0,32","0,73","0,45","0,71","0,73"
Barro Alto/GO,TOMAS CARDOSO,"1802,72286","15,23471093","0,59","0,49",0,"0,27","0,35","0,82","0,94","0,76","0,32","0,26"
Cidade Ocidental/GO,MESQUITA,"4286,2994","38,86429694","0,7","0,66","0,19","0,56","0,35","0,68","0,63","0,54","0,6","0,62"
Goian?sia/GO,PORTO LEUC?DIO,"1577,85542","0,618661774","0,61","0,51","0,15","0,41","0,35","0,79","0,81","0,67","0,53","0,54"
Santa Isabel/GO,PORTO LEUC?DIO,"1577,85542","5,596209615","0,63","0,46","0,3","0,34","0,35","0,74","0,64","0,66","0,3","0,25"
Santa Rita do Novo Destino/GO,TOMAS CARDOSO,"1802,72286","2,792498594","0,59","0,47","0,13","0,33","0,35","0,65","0,62","0,59","0,29","0,24"
S?o Luiz do Norte/GO,PORTO LEUC?DIO,"1577,85542","10,02657629","0,71","0,44",0,"0,34","0,35","0,71","0,68","0,68","0,4","0,31"
Bras?lia/DF,MESQUITA,"4286,2994","3,998410106","0,75","0,61",0,"0,27","0,35","0,85",1,"0,77","0,46","0,5"
Faro/PA,"ABUI, PARANA DO ABUI, TAPAGEM, SAGRADO CORACAO","79051,68762","2,361837264","0,36","0,35","0,11","0,49","0,35","0,01",0,0,"0,84","0,66"
Faro/PA,ALTO TROMBETAS - ?REA I,"57985,34773","3,523112433","0,36","0,35","0,11","0,49","0,35","0,01",0,0,"0,84","0,66"
Faro/PA,ALTO TROMBETAS II - ?REA II,"93864,93688","1,4454895","0,36","0,35","0,11","0,49","0,35","0,01",0,0,"0,84","0,66"
?bidos/PA,NOSSA SENHORA DA GRA?A,"576,21956","5,762110985","0,45","0,38","0,05","0,49","0,35","0,77","0,13","0,07","0,78","0,83"
?bidos/PA,ARIRAMBA,"12329,85506","123,1408157","0,45","0,38","0,05","0,49","0,35","0,77","0,13","0,07","0,78","0,83"
?bidos/PA,ARAPUCU,"767,56475","7,67557339","0,45","0,38","0,05","0,49","0,35","0,77","0,13","0,07","0,78","0,83"
?bidos/PA,PERUANA,"1945,80855","19,45804907","0,45","0,38","0,05","0,49","0,35","0,77","0,13","0,07","0,78","0,83"
